Name,Assignment,Grade,Late
Meg,Homework 1,,False
Meg,Homework 2,64.1918441747948,False
Meg,Homework 3,89.78561926718072,False
Meg,Homework 4,74.42003345025142,False
Meg,Homework 5,74.37243351232289,True
Meg,Homework 6,84.36953522472606,True
Meg,Homework 7,75.75118204353005,False
Meg,Homework 8,76.36290439443594,False
Meg,Homework 9,80.39609638358425,False
Meg,Homework 10,88.40591973308294,False
Ash,Homework 1,98.4210490082267,False
Ash,Homework 2,78.2648443575575,True
Ash,Homework 3,77.10606084246436,False
Ash,Homework 4,64.53854804479882,False
Ash,Homework 5,68.71595477386097,False
Ash,Homework 6,98.29888276271669,False
Ash,Homework 7,97.7340288161758,True
Ash,Homework 8,95.27297124625991,False
Ash,Homework 9,85.85642249613574,False
Ash,Homework 10,68.55299248522434,True
Sid,Homework 1,85.47328055227356,False
Sid,Homework 2,,False
Sid,Homework 3,78.3481628122145,False
Sid,Homework 4,94.95452740625274,False
Sid,Homework 5,70.33801223468295,False
Sid,Homework 6,,False
Sid,Homework 7,94.50697344147838,False
Sid,Homework 8,65.95392252176876,False
Sid,Homework 9,82.51799832635893,True
Sid,Homework 10,66.36621055252591,False
Smith,Homework 1,66.91579706329196,False
Smith,Homework 2,64.16091843960925,True
Smith,Homework 3,68.11750372000668,True
Smith,Homework 4,78.20757186891552,True
Smith,Homework 5,91.78299664912868,False
Smith,Homework 6,,False
Smith,Homework 7,92.20068802321809,False
Smith,Homework 8,,False
Smith,Homework 9,80.62949702487359,False
Smith,Homework 10,62.3559568548831,False
Emily,Homework 1,88.44382744812114,False
Emily,Homework 2,62.90031253590544,False
Emily,Homework 3,95.3044632771952,False
Emily,Homework 4,89.04231274266235,True
Emily,Homework 5,93.33464849767023,False
Emily,Homework 6,88.40922735318469,False
Emily,Homework 7,87.89719672816767,False
Emily,Homework 8,97.2041121363269,True
Emily,Homework 9,95.26690995429132,False
Emily,Homework 10,63.79887933185832,False
